timestamp,joint_name,x_pixel,y_pixel,angle
1772576898.0340428,Landmark_0,1214,1112,
1772576898.0340428,Landmark_1,1274,1098,
1772576898.0340428,Thumb MCP,1326,1065,178.35
1772576898.0340428,Thumb IP,1363,1040,178.29
1772576898.0340428,Landmark_4,1388,1022,
1772576898.0340428,Landmark_5,1281,1026,
1772576898.0340428,Index PIP,1303,931,177.27
1772576898.0340428,Index DIP,1313,876,178.54
1772576898.0340428,Landmark_8,1320,831,
1772576898.0340428,Landmark_9,1223,1013,
1772576898.0340428,Middle PIP,1215,926,179.31
1772576898.0340428,Middle DIP,1210,878,179.78
1772576898.0340428,Landmark_12,1206,841,
1772576898.0340428,Landmark_13,1169,1011,
1772576898.0340428,Ring PIP,1146,937,179.74
1772576898.0340428,Ring DIP,1134,899,175.72
1772576898.0340428,Landmark_16,1124,874,
1772576898.0340428,Landmark_17,1122,1017,
1772576898.0340428,Pinky PIP,1078,952,179.47
1772576898.0340428,Pinky DIP,1049,910,174.57
1772576898.0340428,Landmark_20,1030,876,
1772576898.114306,Landmark_0,1247,1101,
1772576898.114306,Landmark_1,1169,1069,
1772576898.114306,Thumb MCP,1101,1034,178.11
1772576898.114306,Thumb IP,1044,1007,174.38
1772576898.114306,Landmark_4,991,988,
1772576898.114306,Landmark_5,1134,891,
1772576898.114306,Index PIP,1110,806,177.08
1772576898.114306,Index DIP,1097,749,179.25
1772576898.114306,Landmark_8,1085,693,
1772576898.114306,Landmark_9,1195,873,
1772576898.114306,Middle PIP,1187,795,178.30
1772576898.114306,Middle DIP,1183,740,178.56
1772576898.114306,Landmark_12,1178,689,
1772576898.114306,Landmark_13,1257,875,
1772576898.114306,Ring PIP,1261,800,179.03
1772576898.114306,Ring DIP,1263,745,180.00
1772576898.114306,Landmark_16,1265,690,
1772576898.114306,Landmark_17,1317,891,
1772576898.114306,Pinky PIP,1341,822,177.81
1772576898.114306,Pinky DIP,1359,776,180.00
1772576898.114306,Landmark_20,1377,730,
1772576898.1905448,Landmark_0,1287,997,
1772576898.1905448,Landmark_1,1186,923,
1772576898.1905448,Thumb MCP,1103,851,172.19
1772576898.1905448,Thumb IP,1031,804,172.36
1772576898.1905448,Landmark_4,966,773,
1772576898.1905448,Landmark_5,1160,759,
1772576898.1905448,Index PIP,1135,687,174.61
1772576898.1905448,Index DIP,1123,638,179.69
1772576898.1905448,Landmark_8,1112,592,
1772576898.1905448,Landmark_9,1215,748,
1772576898.1905448,Middle PIP,1204,674,177.26
1772576898.1905448,Middle DIP,1199,624,178.19
1772576898.1905448,Landmark_12,1196,580,
1772576898.1905448,Landmark_13,1271,746,
1772576898.1905448,Ring PIP,1271,673,177.04
1772576898.1905448,Ring DIP,1268,615,178.39
1772576898.1905448,Landmark_16,1264,565,
1772576898.1905448,Landmark_17,1326,760,
1772576898.1905448,Pinky PIP,1343,686,177.48
1772576898.1905448,Pinky DIP,1356,639,176.92
1772576898.1905448,Landmark_20,1365,598,
1772576898.1909251,Landmark_0,1260,919,
1772576898.1909251,Landmark_1,1167,885,
1772576898.1909251,Thumb MCP,1080,827,177.96
1772576898.1909251,Thumb IP,1007,782,168.81
1772576898.1909251,Landmark_4,940,757,
1772576898.1909251,Landmark_5,1134,666,
1772576898.1909251,Index PIP,1094,556,175.00
1772576898.1909251,Index DIP,1075,485,176.15
1772576898.1909251,Landmark_8,1063,424,
1772576898.1909251,Landmark_9,1199,644,
1772576898.1909251,Middle PIP,1180,516,179.78
1772576898.1909251,Middle DIP,1168,433,179.54
1772576898.1909251,Landmark_12,1159,367,
1772576898.1909251,Landmark_13,1265,651,
1772576898.1909251,Ring PIP,1260,531,177.93
1772576898.1909251,Ring DIP,1254,454,178.93
1772576898.1909251,Landmark_16,1248,392,
1772576898.1909251,Landmark_17,1332,680,
1772576898.1909251,Pinky PIP,1366,595,177.58
1772576898.1909251,Pinky DIP,1385,541,170.08
1772576898.1909251,Landmark_20,1393,493,
1772576898.259109,Landmark_0,1308,890,
1772576898.259109,Landmark_1,1195,818,
1772576898.259109,Thumb MCP,1107,740,177.57
1772576898.259109,Thumb IP,1032,679,169.37
1772576898.259109,Landmark_4,962,641,
1772576898.259109,Landmark_5,1175,642,
1772576898.259109,Index PIP,1144,568,173.53
